Aldur,Kyn,Atvinnutekjur,Aðrar_tekjur,Fjármagnstekjur,Heildartekjur,Ráðstöfunartekjur,Skattar
79,Karlar,296000.0,6343200.0,1517600.0,8157800.0,6393400.0,1763200.0
80,Karlar,241000.0,6304000.0,1432000.0,7978000.0,6239000.0,1738000.0
81,Karlar,212800.0,6174000.0,1472200.0,7860000.0,6181000.0,1678200.0
82,Karlar,184600.0,6044000.0,1512400.0,7742000.0,6123000.0,1618400.0
83,Karlar,156400.0,5914000.0,1552600.0,7624000.0,6065000.0,1558600.0
84,Karlar,128200.0,5784000.0,1592800.0,7506000.0,6007000.0,1498800.0
85,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
86,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
87,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
88,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
89,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
90,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
91,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
92,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
93,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
94,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
95,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
96,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
97,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
98,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
99,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
100,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
101,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
102,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
103,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
104,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
105,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
106,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
107,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
108,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
109,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
1,Konur,0.0,0.0,0.0,0.0,0.0,0.0
2,Konur,0.0,0.0,0.0,0.0,0.0,0.0
3,Konur,0.0,0.0,0.0,0.0,0.0,0.0
4,Konur,0.0,0.0,0.0,0.0,0.0,0.0
5,Konur,0.0,0.0,0.0,0.0,0.0,0.0
6,Konur,0.0,0.0,0.0,0.0,0.0,0.0
7,Konur,0.0,0.0,0.0,0.0,0.0,0.0
8,Konur,0.0,0.0,0.0,0.0,0.0,0.0
9,Konur,0.0,0.0,0.0,0.0,0.0,0.0
10,Konur,0.0,0.0,0.0,0.0,0.0,0.0
11,Konur,0.0,0.0,0.0,0.0,0.0,0.0
12,Konur,0.0,0.0,0.0,0.0,0.0,0.0
13,Konur,0.0,0.0,0.0,0.0,0.0,0.0
14,Konur,0.0,0.0,0.0,0.0,0.0,0.0
15,Konur,0.0,0.0,0.0,0.0,0.0,0.0
16,Konur,1908000.0,145000.0,126000.0,2180000.0,1929000.0,178000.0
17,Konur,2504250.0,235500.0,147750.0,2888250.0,2459250.0,330750.0
18,Konur,3100500.0,326000.0,169500.0,3596500.0,2989500.0,483500.0
19,Konur,3696750.0,416500.0,191250.0,4304750.0,3519750.0,636250.0
20,Konur,4293000.0,507000.0,213000.0,5013000.0,4050000.0,789000.0
21,Konur,4576200.0,582800.0,220000.0,5379400.0,4296400.0,897200.0
22,Konur,4859400.0,658600.0,227000.0,5745800.0,4542800.0,1005400.0
23,Konur,5142600.0,734400.0,234000.0,6112200.0,4789200.0,1113600.0
24,Konur,5425800.0,810200.0,241000.0,6478600.0,5035600.0,1221800.0
25,Konur,5709000.0,886000.0,248000.0,6845000.0,5282000.0,1330000.0
26,Konur,5883400.0,937600.0,268000.0,7090800.0,5450600.0,1400400.0
27,Konur,6057800.0,989200.0,288000.0,7336600.0,5619200.0,1470800.0
28,Konur,6232200.0,1040800.0,308000.0,7582400.0,5787800.0,1541200.0
29,Konur,6406600.0,1092400.0,328000.0,7828200.0,5956400.0,1611600.0
30,Konur,6581000.0,1144000.0,348000.0,8074000.0,6125000.0,1682000.0
31,Konur,6710600.0,1198400.0,368800.0,8278600.0,6265400.0,1741200.0
32,Konur,6840200.0,1252800.0,389600.0,8483200.0,6405800.0,1800400.0
33,Konur,6969800.0,1307200.0,410400.0,8687800.0,6546200.0,1859600.0
34,Konur,7099400.0,1361600.0,431200.0,8892400.0,6686600.0,1918800.0
35,Konur,7229000.0,1416000.0,452000.0,9097000.0,6827000.0,1978000.0
36,Konur,7395200.0,1422400.0,502000.0,9319800.0,6969800.0,2051800.0
37,Konur,7561400.0,1428800.0,552000.0,9542600.0,7112600.0,2125600.0
38,Konur,7727600.0,1435200.0,602000.0,9765400.0,7255400.0,2199400.0
39,Konur,7893800.0,1441600.0,652000.0,9988200.0,7398200.0,2273200.0
40,Konur,8060000.0,1448000.0,702000.0,10211000.0,7541000.0,2347000.0
41,Konur,8115800.0,1425800.0,750000.0,10292600.0,7584800.0,2382600.0
42,Konur,8171600.0,1403600.0,798000.0,10374200.0,7628600.0,2418200.0
43,Konur,8227400.0,1381400.0,846000.0,10455800.0,7672400.0,2453800.0
44,Konur,8283200.0,1359200.0,894000.0,10537400.0,7716200.0,2489400.0
45,Konur,8339000.0,1337000.0,942000.0,10619000.0,7760000.0,2525000.0
46,Konur,8307800.0,1306600.0,1050800.0,10666400.0,7794200.0,2539600.0
47,Konur,8276600.0,1276200.0,1159600.0,10713800.0,7828400.0,2554200.0
48,Konur,8245400.0,1245800.0,1268400.0,10761200.0,7862600.0,2568800.0
49,Konur,8214200.0,1215400.0,1377200.0,10808600.0,7896800.0,2583400.0
50,Konur,8183000.0,1185000.0,1486000.0,10856000.0,7931000.0,2598000.0
51,Konur,8039600.0,1193200.0,1556800.0,10791400.0,7902400.0,2567800.0
52,Konur,7896200.0,1201400.0,1627600.0,10726800.0,7873800.0,2537600.0
53,Konur,7752800.0,1209600.0,1698400.0,10662200.0,7845200.0,2507400.0
54,Konur,7609400.0,1217800.0,1769200.0,10597600.0,7816600.0,2477200.0
55,Konur,7466000.0,1226000.0,1840000.0,10533000.0,7788000.0,2447000.0
56,Konur,7248800.0,1365800.0,1785600.0,10401400.0,7689000.0,2423800.0
57,Konur,7031600.0,1505600.0,1731200.0,10269800.0,7590000.0,2400600.0
58,Konur,6814400.0,1645400.0,1676800.0,10138200.0,7491000.0,2377400.0
59,Konur,6597200.0,1785200.0,1622400.0,10006600.0,7392000.0,2354200.0
