Yfirlit,Flokkur_1,Tegund,0000 Reykjavíkurborg,1000 Kópavogsbær,1100 Seltjarnarnesbær,1300 Garðabær,1400 Hafnarfjarðarkaupstaður,1604 Mosfellsbær,1606 Kjósarhreppur,2000 Reykjanesbær,2300 Grindavíkurbær,2506 Sveitarfélagið Vogar,2510 Suðurnesjabær,3000 Akraneskaupstaður,3506 Skorradalshreppur,3511 Hvalfjarðarsveit,3609 Borgarbyggð,3709 Grundarfjarðarbær,3713 Eyja- og Miklaholtshreppur,3714 Snæfellsbær,3716 Sveitarfélagið Stykkishólmur,3811 Dalabyggð,4100 Bolungarvíkurkaupstaður,4200 Ísafjarðarbær,4502 Reykhólahreppur,4604 Vesturbyggð,4803 Súðavíkurhreppur,4901 Árneshreppur,4902 Kaldrananeshreppur,4911 Strandabyggð,5508 Húnaþing vestra,5609 Sveitarfélagið Skagaströnd,5613 Húnabyggð,5716 Skagafjörður,6000 Akureyrarbær,6100 Norðurþing,6250 Fjallabyggð,6400 Dalvíkurbyggð,6513 Eyjafjarðarsveit,6515 Hörgársveit,6601 Svalbarðsstrandarhreppur,6602 Grýtubakkahreppur,6611 Tjörneshreppur,6613 Þingeyjarsveit,6710 Langanesbyggð,7300 Fjarðabyggð,7400 Múlaþing,7502 Vopnafjarðarhreppur,7505 Fljótsdalshreppur,8000 Vestmannaeyjabær,8200 Sveitarfélagið Árborg,8401 Sveitarfélagið Hornafjörður,8508 Mýrdalshreppur,8509 Skaftárhreppur,8610 Ásahreppur,8613 Rangárþing eystra,8614 Rangárþing ytra,8710 Hrunamannahreppur,8716 Hveragerðisbær,8717 Sveitarfélagið Ölfus,8719 Grímsnes- og Grafningshreppur,8720 Skeiða- og Gnúpverjahreppur,8721 Bláskógabyggð,8722 Flóahreppur,Grand Total
,Varanlegir rekstrarfjármunir,,231289048,58123291,7424256,47544220,59796647,26396583,171453,44419989,6960634,2564128,8436380,13726549,43305,1884058,7525586,2174676,102623,4726910,3222800,1295549,1659477,5954484,457966,2439696,265026,47458,168652,1309198,1811346,875766,3320117,10196169,37857700,5095133,5107525,3743928,1673500,1845195,1002841,532387,9645,1615820,1806016,10429410,8357783,1203485,652527,10522604,24360407,6352404,1792783,791402,302492,4782196,3871956,1606758,6917911,3846714,1749910,1159892,2615269,492259,708431892
,Áhættufjármunir og langtímakröfur,,26432438,6288450,1219236,5098871,6419212,1320131,372014,5116728,1157917,104956,382359,6172100,54029,989269,1168986,360478,37827,1038307,337055,263509,389369,1031874,222559,328861,115008,4898,166292,86768,504688,84760,327586,772121,2835732,812219,788262,575733,190440,87505,53694,110361,6980,411092,69404,1106317,1226869,138450,21838,1067214,1349923,571197,520373,256744,135535,374530,1234917,377385,320521,405356,77357,301439,566688,188189,84550920
,Veltufjármunir,,34495060,7278145,1104645,3936788,10257677,3535513,234743,2972643,4155860,646996,1678678,4265740,49125,2036937,1471073,373251,160525,397961,300651,406067,896980,1608169,240390,553724,719240,112540,131482,178336,1078460,440715,941020,820490,8085444,1684475,1095758,1194839,463539,122548,242547,167141,152511,477019,234607,2162201,1671739,259206,273307,3843233,6949688,1308548,772994,331621,443812,1121290,908068,728845,1381096,2437496,1456693,480995,1030989,734833,129696706
,Eigið fé,,88641595,21085726,1989274,22940986,15010836,6870444,593672,18556479,9925348,1240584,5250634,10277880,102255,4781655,6273437,1018279,269392,4186750,921649,923628,373329,1267331,646994,1839,877733,148724,410628,456134,2172200,880398,1358405,2781498,18876240,2233230,4237922,3376664,2085394,1109006,1229318,453412,168936,1025052,1205020,1656837,1010960,-121847,896959,8831989,-386907,5931231,2262153,557286,746757,3611984,3465246,1209288,1296070,3978376,2271496,1436471,1453182,1018034,309361475
,Skuldbindingar,,36160013,11341171,2459323,3740264,17515502,2866350,0,8506490,860803,279485,1245236,4630899,1098,3471,1456845,136708,0,674189,410099,241364,161876,2289161,3245,314968,0,0,5726,93587,264714,262550,484921,1829087,5653549,2525008,1766411,810529,8352,0,4446,120740,0,100176,52380,3585625,1581737,99154,0,4664349,3380292,681840,121291,22267,7211,302135,140616,57858,1026889,714596,33102,36902,71674,21680,125829954
,Langtímaskuldir,,134833001,24708208,3741357,20550693,32761556,16989448,75049,14252010,742774,1241579,2965512,5194023,0,0,1522491,1253160,512,764359,1920863,505492,1797124,2853958,141793,2121454,0,0,1580,750606,463472,0,2084905,5152721,17462105,1793395,118205,571410,0,760229,1580,87769,0,910182,532580,4226173,6428166,336728,0,0,18974408,394566,414453,489758,40666,1390381,1499230,1073947,4959764,1469873,682797,188860,1732999,177614,346107538
,Skammtímaskuldir,,32581937,14554781,1558183,9347936,11185642,4525985,109489,11194381,745486,554432,1036035,4061587,43106,125138,912872,500258,31071,537880,607895,294641,613497,2184077,128883,884020,221541,16172,48492,273975,494108,258293,660492,2025474,6786982,1040194,869007,755897,233733,186013,63738,147968,200,468521,320047,4229293,2235528,1287106,50713,1936713,10692225,1224512,288253,310456,87205,973516,909849,371895,1336805,526721,296565,280093,955091,197953,141380551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sjóðstreymi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Veltufé frá rekstri,,12233713,3583243,188756,1503629,1701044,1403281,107858,3023444,1195046,263257,736088,769115,34307,430169,667548,169787,2758,414651,126811,60008,84757,960608,41644,258525,100930,27085,36425,10938,235192,-38684,288831,753320,2885815,672985,364545,368561,266522,143609,171241,56788,46627,277459,320499,1253936,1098867,-79173,63727,840640,2341068,652935,305666,22455,178212,545593,494786,200402,632862,1511454,289912,208139,173758,199246,47883220
,Breytingar á skammtímaliðum,,273827,737868,-128562,832949,1881890,-346378,6833,582376,1321445,2470,97746,-1931160,-17213,-5838,120058,8358,-15180,2598,25726,22439,12840,-114399,-66007,221610,13051,46110,-1825,13785,88468,45760,-52810,176302,486388,-29631,212697,377,-69622,-27270,5393,-4110,-956,95662,41463,-164975,14166,-29809,-1302,208882,511958,132397,-81263,-60449,-37445,238440,147652,124292,9807,-570333,-219509,-2589,19623,11704,4816775
,Fjárfestignarhreyfingar,,-13146005,-1352629,853728,-1734267,-4100824,-1891117,-207872,-6996365,-60030,-158382,-819054,-2986852,970,-306615,-875881,-279700,29746,-341525,-264964,-252636,-251765,-403908,-124494,-290967,-10931,-15872,-35477,-327352,-84792,-65710,-153637,-696586,-2308553,-486549,-390076,-412504,-558234,-256415,-249714,-35285,-3000,-236653,-294679,-623956,-532000,-105113,-91475,-179901,-564937,-946910,-469640,-169024,-28422,-133585,-869723,-192760,-1182622,-544695,-308165,-150419,-188053,-35620,-49900447
,Fjármögnunarhreyfingar,,1283410,-2907662,-633506,-593203,747110,841936,127332,1735879,-309268,-33701,122011,4299277,-4052,-102904,-197138,51965,20355,-89320,76079,375022,47249,-335895,7920,-56234,-81949,-9252,10533,169130,30427,9358,83976,-326365,-826267,-417371,-371654,-74440,3134,129120,-9688,-17284,0,-120878,-158873,-265542,-358197,118514,0,-948333,-503521,319426,36018,178696,7341,-70183,193301,-135159,540738,-134974,261650,-46443,20694,-725,1707620
,Hækkun ( lækkun ) á handbæru fé,,644945,60820,280416,9108,229220,7722,34151,-1654666,2147193,73644,136791,150380,14012,14812,-285413,-49590,37679,-13596,-36348,204833,-106919,106406,-140937,132934,21101,48071,9656,-133499,269295,-49276,166360,-93329,237383,-260566,-184488,-118006,-358200,-10956,-82768,109,42671,15590,-91590,199463,222836,-95581,-29050,-78712,1784568,157848,-209219,-28322,119686,580265,-33984,-3225,785,261452,23888,8688,26022,174605,4507168
