Tekjur og skattar,Eining,Kyn,Aldur,Ár,Gildi
Heildartekjur launþega,Fjöldi,Karlar,60 ára,2023,9950
Heildartekjur launþega,Fjöldi,Karlar,65 ára,2023,8596
Heildartekjur launþega,Fjöldi,Karlar,70 ára,2023,6961
Heildartekjur launþega,Fjöldi,Karlar,75 ára,2023,5182
Heildartekjur launþega,Fjöldi,Karlar,80 ára,2023,3054
Heildartekjur launþega,Fjöldi,Karlar,85 ára og eldri,2023,2567
Heildartekjur launþega,Fjöldi,Konur,16 ára,2023,8251
Heildartekjur launþega,Fjöldi,Konur,20 ára,2023,10186
Heildartekjur launþega,Fjöldi,Konur,25 ára,2023,11528
Heildartekjur launþega,Fjöldi,Konur,30 ára,2023,12877
Heildartekjur launþega,Fjöldi,Konur,35 ára,2023,11302
Heildartekjur launþega,Fjöldi,Konur,40 ára,2023,11486
Heildartekjur launþega,Fjöldi,Konur,45 ára,2023,10564
Heildartekjur launþega,Fjöldi,Konur,50 ára,2023,10334
Heildartekjur launþega,Fjöldi,Konur,55 ára,2023,10416
Heildartekjur launþega,Fjöldi,Konur,60 ára,2023,10038
Heildartekjur launþega,Fjöldi,Konur,65 ára,2023,8736
Heildartekjur launþega,Fjöldi,Konur,70 ára,2023,6956
Heildartekjur launþega,Fjöldi,Konur,75 ára,2023,5498
Heildartekjur launþega,Fjöldi,Konur,80 ára,2023,3621
Heildartekjur launþega,Fjöldi,Konur,85 ára og eldri,2023,3757
Heildartekjur eftir skatta,Meðaltal,Karlar,16 ára,2023,143
Heildartekjur eftir skatta,Meðaltal,Karlar,20 ára,2023,428
Heildartekjur eftir skatta,Meðaltal,Karlar,25 ára,2023,611
Heildartekjur eftir skatta,Meðaltal,Karlar,30 ára,2023,719
Heildartekjur eftir skatta,Meðaltal,Karlar,35 ára,2023,764
Heildartekjur eftir skatta,Meðaltal,Karlar,40 ára,2023,857
Heildartekjur eftir skatta,Meðaltal,Karlar,45 ára,2023,871
Heildartekjur eftir skatta,Meðaltal,Karlar,50 ára,2023,832
Heildartekjur eftir skatta,Meðaltal,Karlar,55 ára,2023,978
Heildartekjur eftir skatta,Meðaltal,Karlar,60 ára,2023,2008
Heildartekjur eftir skatta,Meðaltal,Karlar,65 ára,2023,4251
Heildartekjur eftir skatta,Meðaltal,Karlar,70 ára,2023,6567
Heildartekjur eftir skatta,Meðaltal,Karlar,75 ára,2023,6487
Heildartekjur eftir skatta,Meðaltal,Karlar,80 ára,2023,6292
Heildartekjur eftir skatta,Meðaltal,Karlar,85 ára og eldri,2023,5636
Heildartekjur eftir skatta,Meðaltal,Konur,16 ára,2023,146
Heildartekjur eftir skatta,Meðaltal,Konur,20 ára,2023,497
Heildartekjur eftir skatta,Meðaltal,Konur,25 ára,2023,864
Heildartekjur eftir skatta,Meðaltal,Konur,30 ára,2023,1121
Heildartekjur eftir skatta,Meðaltal,Konur,35 ára,2023,1406
Heildartekjur eftir skatta,Meðaltal,Konur,40 ára,2023,1446
Heildartekjur eftir skatta,Meðaltal,Konur,45 ára,2023,1337
Heildartekjur eftir skatta,Meðaltal,Konur,50 ára,2023,1188
Heildartekjur eftir skatta,Meðaltal,Konur,55 ára,2023,1217
Heildartekjur eftir skatta,Meðaltal,Konur,60 ára,2023,1911
Heildartekjur eftir skatta,Meðaltal,Konur,65 ára,2023,4285
Heildartekjur eftir skatta,Meðaltal,Konur,70 ára,2023,5946
Heildartekjur eftir skatta,Meðaltal,Konur,75 ára,2023,5691
Heildartekjur eftir skatta,Meðaltal,Konur,80 ára,2023,5645
Heildartekjur eftir skatta,Meðaltal,Konur,85 ára og eldri,2023,5197
Heildartekjur eftir skatta,Fjöldi,Karlar,16 ára,2023,8786
Heildartekjur eftir skatta,Fjöldi,Karlar,20 ára,2023,10625
Heildartekjur eftir skatta,Fjöldi,Karlar,25 ára,2023,12271
Heildartekjur eftir skatta,Fjöldi,Karlar,30 ára,2023,13857
Heildartekjur eftir skatta,Fjöldi,Karlar,35 ára,2023,12215
Heildartekjur eftir skatta,Fjöldi,Karlar,40 ára,2023,12018
Heildartekjur eftir skatta,Fjöldi,Karlar,45 ára,2023,10717
Heildartekjur eftir skatta,Fjöldi,Karlar,50 ára,2023,10394
Heildartekjur eftir skatta,Fjöldi,Karlar,55 ára,2023,9973
Heildartekjur eftir skatta,Fjöldi,Karlar,60 ára,2023,9950
Heildartekjur eftir skatta,Fjöldi,Karlar,65 ára,2023,8596
Heildartekjur eftir skatta,Fjöldi,Karlar,70 ára,2023,6961
Heildartekjur eftir skatta,Fjöldi,Karlar,75 ára,2023,5182
Heildartekjur eftir skatta,Fjöldi,Karlar,80 ára,2023,3054
Heildartekjur eftir skatta,Fjöldi,Karlar,85 ára og eldri,2023,2567
Heildartekjur eftir skatta,Fjöldi,Konur,16 ára,2023,8251
Heildartekjur eftir skatta,Fjöldi,Konur,20 ára,2023,10186
Heildartekjur eftir skatta,Fjöldi,Konur,25 ára,2023,11528
Heildartekjur eftir skatta,Fjöldi,Konur,30 ára,2023,12877
Heildartekjur eftir skatta,Fjöldi,Konur,35 ára,2023,11302
Heildartekjur eftir skatta,Fjöldi,Konur,40 ára,2023,11486
Heildartekjur eftir skatta,Fjöldi,Konur,45 ára,2023,10564
Heildartekjur eftir skatta,Fjöldi,Konur,50 ára,2023,10334
Heildartekjur eftir skatta,Fjöldi,Konur,55 ára,2023,10416
Heildartekjur eftir skatta,Fjöldi,Konur,60 ára,2023,10038
Heildartekjur eftir skatta,Fjöldi,Konur,65 ára,2023,8736
Heildartekjur eftir skatta,Fjöldi,Konur,70 ára,2023,6956
Heildartekjur eftir skatta,Fjöldi,Konur,75 ára,2023,5498
Heildartekjur eftir skatta,Fjöldi,Konur,80 ára,2023,3621
Heildartekjur eftir skatta,Fjöldi,Konur,85 ára og eldri,2023,3757
Álagður tekjuskattur,Meðaltal,Karlar,16 ára,2023,1876
Álagður tekjuskattur,Meðaltal,Karlar,20 ára,2023,4384
Álagður tekjuskattur,Meðaltal,Karlar,25 ára,2023,5912
Álagður tekjuskattur,Meðaltal,Karlar,30 ára,2023,6787
Álagður tekjuskattur,Meðaltal,Karlar,35 ára,2023,7556
Álagður tekjuskattur,Meðaltal,Karlar,40 ára,2023,8507
Álagður tekjuskattur,Meðaltal,Karlar,45 ára,2023,9322
Álagður tekjuskattur,Meðaltal,Karlar,50 ára,2023,9513
Álagður tekjuskattur,Meðaltal,Karlar,55 ára,2023,9623
Álagður tekjuskattur,Meðaltal,Karlar,60 ára,2023,9417
Álagður tekjuskattur,Meðaltal,Karlar,65 ára,2023,8748
Álagður tekjuskattur,Meðaltal,Karlar,70 ára,2023,7532
Álagður tekjuskattur,Meðaltal,Karlar,75 ára,2023,7000
Álagður tekjuskattur,Meðaltal,Karlar,80 ára,2023,6231
Álagður tekjuskattur,Meðaltal,Karlar,85 ára og eldri,2023,5938
Álagður tekjuskattur,Meðaltal,Konur,16 ára,2023,1925
Álagður tekjuskattur,Meðaltal,Konur,20 ára,2023,4004
Álagður tekjuskattur,Meðaltal,Konur,25 ára,2023,5156
Álagður tekjuskattur,Meðaltal,Konur,30 ára,2023,6005
Álagður tekjuskattur,Meðaltal,Konur,35 ára,2023,6752
Álagður tekjuskattur,Meðaltal,Konur,40 ára,2023,7487
Álagður tekjuskattur,Meðaltal,Konur,45 ára,2023,7718
Álagður tekjuskattur,Meðaltal,Konur,50 ára,2023,7897
Álagður tekjuskattur,Meðaltal,Konur,55 ára,2023,7733
Álagður tekjuskattur,Meðaltal,Konur,60 ára,2023,7272
Álagður tekjuskattur,Meðaltal,Konur,65 ára,2023,6877
Álagður tekjuskattur,Meðaltal,Konur,70 ára,2023,6399
Álagður tekjuskattur,Meðaltal,Konur,75 ára,2023,6062
Álagður tekjuskattur,Meðaltal,Konur,80 ára,2023,5491
Álagður tekjuskattur,Meðaltal,Konur,85 ára og eldri,2023,4972
Álagður tekjuskattur,Fjöldi,Karlar,16 ára,2023,8786
Álagður tekjuskattur,Fjöldi,Karlar,20 ára,2023,10625
Álagður tekjuskattur,Fjöldi,Karlar,25 ára,2023,12271
Álagður tekjuskattur,Fjöldi,Karlar,30 ára,2023,13857
Álagður tekjuskattur,Fjöldi,Karlar,35 ára,2023,12215
Álagður tekjuskattur,Fjöldi,Karlar,40 ára,2023,12018
Álagður tekjuskattur,Fjöldi,Karlar,45 ára,2023,10717
Álagður tekjuskattur,Fjöldi,Karlar,50 ára,2023,10394
Álagður tekjuskattur,Fjöldi,Karlar,55 ára,2023,9973
Álagður tekjuskattur,Fjöldi,Karlar,60 ára,2023,9950
Álagður tekjuskattur,Fjöldi,Karlar,65 ára,2023,8596
Álagður tekjuskattur,Fjöldi,Karlar,70 ára,2023,6961
Álagður tekjuskattur,Fjöldi,Karlar,75 ára,2023,5182
Álagður tekjuskattur,Fjöldi,Karlar,80 ára,2023,3054
Álagður tekjuskattur,Fjöldi,Karlar,85 ára og eldri,2023,2567
Álagður tekjuskattur,Fjöldi,Konur,16 ára,2023,8251
Álagður tekjuskattur,Fjöldi,Konur,20 ára,2023,10186
Álagður tekjuskattur,Fjöldi,Konur,25 ára,2023,11528
Álagður tekjuskattur,Fjöldi,Konur,30 ára,2023,12877
Álagður tekjuskattur,Fjöldi,Konur,35 ára,2023,11302
Álagður tekjuskattur,Fjöldi,Konur,40 ára,2023,11486
Álagður tekjuskattur,Fjöldi,Konur,45 ára,2023,10564
Álagður tekjuskattur,Fjöldi,Konur,50 ára,2023,10334
Álagður tekjuskattur,Fjöldi,Konur,55 ára,2023,10416
Álagður tekjuskattur,Fjöldi,Konur,60 ára,2023,10038
Álagður tekjuskattur,Fjöldi,Konur,65 ára,2023,8736
Álagður tekjuskattur,Fjöldi,Konur,70 ára,2023,6956
Álagður tekjuskattur,Fjöldi,Konur,75 ára,2023,5498
Álagður tekjuskattur,Fjöldi,Konur,80 ára,2023,3621
Álagður tekjuskattur,Fjöldi,Konur,85 ára og eldri,2023,3757
