"Tekjur og skattar";"Eining";"Kyn";"Aldur";"2022"
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"35 - 39 ára";347
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"40 - 44 ára";587
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"45 - 49 ára";842
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"50 - 54 ára";1284
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"55 - 59 ára";1639
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"60 - 64 ára";1769
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"65 - 69 ára";1479
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"70 - 74 ára";1204
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"75 - 79 ára";911
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"80 - 84 ára";1017
"Fjármagnstekjur";"Meðaltal - allir";"Konur";"85 ára og eldri";585
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"16 - 19 ára";117
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"20 - 24 ára";426
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"25 - 29 ára";587
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"30 - 34 ára";688
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"35 - 39 ára";762
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"40 - 44 ára";838
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"45 - 49 ára";804
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"50 - 54 ára";832
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"55 - 59 ára";968
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"60 - 64 ára";1604
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"65 - 69 ára";3705
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"70 - 74 ára";5979
"Aðrar tekjur";"Meðaltal - allir";"Karlar";"75 - 79 ára";5884
